#,Word 1,Word 2,Pos,Frq,Type,Level,s1,r1,s2,r2,s3,r3,s4,r4,s5,r5,s6,r6,s7,r7,s8,r8,s9,r9,s10,r10,s11,r11,s12,r12
1,katta,ulkan,ADJ,29153,syn,high,8,9,8,10,5,7,5,7,8,9,9,9,6,9,5,9,8,8,8,10,8,9,8,9
2,milliy,mahalliy,ADJ,26162,syn,high,6,8,4,6,6,6,6,7,5,6,7,7,5,6,4,7,4,5,7,6,8,9,8,9
3,mazkur,joriy,ADJ,24228,syn,high,6,7,7,7,6,6,7,7,4,6,6,8,10,10,4,5,6,7,4,6,8,9,8,9
4,muhim,zarur,ADJ,23761,syn,high,9,9,7,8,7,7,6,8,6,9,9,9,4,5,3,6,6,8,2,8,8,9,6,6
5,iqtisodiy,moliyaviy,ADJ,18470,syn,high,7,9,8,8,5,7,4,6,5,8,7,8,10,10,4,8,2,6,3,8,8,9,7,8
6,zamonaviy,yetuk,ADJ,15890,syn,high,6,8,8,8,7,9,9,10,6,7,6,8,4,6,6,9,4,6,2,8,8,9,3,5
7,joriy,hozirgi,ADJ,14951,syn,high,9,9,9,9,6,7,6,7,6,6,8,9,6,7,6,9,6,7,3,5,8,10,2,6
8,kichik,mitti,ADJ,10136,syn,high,10,10,4,5,6,7,5,6,4,6,8,9,4,6,4,8,6,6,8,8,7,9,7,8
9,yuksak,oliy,ADJ,8499,syn,high,7,9,9,9,6,6,8,10,8,9,7,9,8,9,8,10,8,8,8,7,7,8,8,9
10,xususiy,shaxsiy,ADJ,7618,syn,high,7,9,9,9,9,9,8,8,4,6,8,8,7,8,6,9,7,8,10,9,8,9,6,6
11,mustaqil,demokratik,ADJ,5754,syn,high,8,9,7,9,5,6,8,9,6,7,8,9,8,10,3,9,6,7,8,6,8,8,3,8
12,ulkan,yirik,ADJ,5658,syn,high,7,9,8,8,7,7,5,8,6,9,9,9,10,10,5,8,9,9,8,8,7,8,6,8
13,doimiy,muntazam,ADJ,5561,syn,high,7,9,7,9,6,7,5,8,5,6,9,9,6,7,4,6,6,7,9,9,8,9,8,8
14,erkin,mustaqil,ADJ,4548,syn,high,9,10,6,7,6,8,6,9,8,8,8,10,4,6,5,9,4,6,2,9,8,8,8,9
15,yagona,yakka,ADJ,4434,syn,high,8,9,6,8,6,6,7,7,4,6,8,9,8,9,7,10,9,9,2,5,8,9,6,6
16,mashhur,taniqli,ADJ,4404,syn,high,10,10,9,9,8,9,8,10,7,8,9,10,7,8,9,10,10,10,8,9,7,8,8,9
17,teng,barobar,ADJ,4000,syn,high,9,10,8,10,9,10,7,9,10,10,9,9,8,10,6,9,10,10,9,9,8,9,9,9
18,mustahkam,barqaror,ADJ,3385,syn,high,7,9,5,6,6,8,6,7,7,9,9,9,4,8,4,7,4,6,6,8,8,9,8,8
19,tub,mahalliy,ADJ,3232,syn,high,8,9,7,9,6,6,5,6,6,8,7,8,4,7,3,6,4,6,2,2,8,9,3,8
