ID,Word-1,Word-2,Relation,POS,sim_avg,rel_avg,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
609,katta,ulkan,syn,ADJ,7.91,8.73,8,8,9,8,8,9,6,7,8,8,8,9,10,7,7,9,9,9,9,8,10,9
610,milliy,mahalliy,syn,ADJ,7.64,6.91,6,10,6,6,7,7,8,10,9,7,8,8,6,6,7,6,7,6,7,8,6,9
611,mazkur,joriy,syn,ADJ,6.36,7.09,6,7,6,7,6,6,5,7,6,6,8,7,7,6,7,6,8,8,7,7,6,9
612,muhim,zarur,syn,ADJ,7.09,7.64,9,7,7,6,6,9,7,7,6,8,6,9,8,7,8,9,9,6,6,8,8,6
613,iqtisodiy,moliyaviy,syn,ADJ,8.00,7.82,7,8,8,8,8,7,10,8,8,9,7,9,8,7,6,8,8,10,8,6,8,8
614,zamonaviy,yetuk,syn,ADJ,7.09,7.91,6,8,7,9,6,6,6,6,9,8,7,8,8,9,10,7,8,6,9,6,8,8
615,joriy,hozirgi,syn,ADJ,6.82,7.73,9,9,6,6,6,8,6,6,6,6,7,9,9,7,7,6,9,7,9,7,9,6
616,kichik,mitti,syn,ADJ,8.27,7.27,10,9,6,9,8,8,10,10,6,8,7,9,7,7,6,6,9,6,8,6,8,8
617,yuksak,oliy,syn,ADJ,7.73,8.73,7,9,6,8,8,7,8,8,8,8,8,9,9,7,10,9,9,9,10,8,7,9
618,hozirgi,mazkur,syn,ADJ,7.82,8.00,7,8,6,8,7,7,7,10,10,8,8,8,9,7,8,9,9,6,7,8,8,9
619,xususiy,shaxsiy,syn,ADJ,7.64,8.09,7,9,9,8,7,8,7,6,7,10,6,9,9,9,8,6,8,8,9,8,9,6
620,mustaqil,demokratik,syn,ADJ,7.55,8.09,8,7,6,8,6,8,8,10,6,8,8,9,9,6,9,7,9,10,9,7,6,8
621,ulkan,yirik,syn,ADJ,7.82,8.45,7,8,7,6,6,9,10,10,9,8,6,9,8,7,8,9,9,10,8,9,8,8
622,doimiy,muntazam,syn,ADJ,7.27,7.73,7,7,6,7,9,9,6,6,6,9,8,9,9,7,8,6,9,7,6,7,9,8
623,erkin,mustaqil,syn,ADJ,7.73,8.27,9,6,6,6,8,8,7,10,9,8,8,10,7,8,9,8,10,6,9,6,9,9
624,yagona,yakka,syn,ADJ,7.45,8.09,8,6,6,7,9,8,8,7,9,8,6,9,8,6,7,6,9,9,10,9,10,6
625,mashhur,taniqli,syn,ADJ,8.45,9.27,10,9,8,8,7,9,7,9,10,8,8,10,9,9,10,8,10,8,10,10,9,9
626,teng,barobar,syn,ADJ,8.73,9.55,9,8,9,7,10,9,8,8,10,9,9,10,10,10,9,10,9,10,9,10,9,9
627,mustahkam,barqaror,syn,ADJ,7.91,7.73,7,10,6,6,7,9,10,10,8,6,8,9,6,8,7,9,9,8,7,6,8,8
628,tub,mahalliy,syn,ADJ,7.91,7.18,8,7,6,10,6,7,8,10,9,9,7,9,9,6,6,8,8,7,6,6,6,8
629,boshlang'ich,dastlabki,syn,ADJ,7.55,8.45,9,9,7,6,7,7,6,8,10,8,6,10,10,7,7,9,8,7,10,9,8,8
630,ilg'or,zamonaviy,syn,ADJ,7.36,8.27,8,8,8,7,7,8,6,6,7,8,8,9,10,9,9,9,9,6,7,7,7,9
631,muqaddas,aziz,syn,ADJ,7.00,8.27,5,7,7,8,9,9,6,8,6,6,6,10,8,7,9,9,9,8,9,8,6,8
632,xaqiqiy,asl,syn,ADJ,8.09,8.45,8,8,6,7,10,9,7,9,8,9,8,9,10,8,9,8,9,8,7,10,6,9
633,bo'sh,quruq,syn,ADJ,7.18,7.18,6,7,8,6,8,6,9,6,9,8,6,9,8,7,6,8,8,6,8,6,7,6
634,ozod,mustaqil,syn,ADJ,8.00,8.00,9,6,7,6,9,10,10,8,9,6,8,9,9,8,6,7,10,6,10,6,8,9
635,barobar,tengdosh,syn,ADJ,7.09,8.18,7,6,7,7,7,8,6,7,9,6,8,10,8,9,6,6,10,7,10,8,7,9
636,quyi,past,syn,ADJ,7.55,8.27,9,8,7,7,7,10,6,7,6,8,8,10,8,8,9,8,10,7,9,7,7,8
637,keskin,jadal,syn,ADJ,8.45,7.82,7,9,9,8,9,9,7,9,8,9,9,8,7,8,9,8,7,8,7,8,8,8
638,yomon,salbiy,syn,ADJ,7.00,8.45,8,6,6,7,7,8,8,6,7,6,8,9,9,8,7,9,9,10,7,8,8,9
639,bemor,betob,syn,ADJ,8.36,8.64,10,10,8,9,9,8,8,8,8,8,6,10,10,9,10,9,8,7,7,9,7,9
640,tinch,osoyishta,syn,ADJ,8.64,9.09,9,9,9,8,9,9,9,9,8,9,7,10,9,9,9,8,9,10,10,9,8,9
641,sobiq,oldingi,syn,ADJ,7.91,7.64,8,6,9,7,7,8,8,9,9,9,7,8,7,7,7,8,10,7,6,7,9,8
642,faxriy,nuroniy,syn,ADJ,7.18,8.00,8,7,6,7,8,6,8,7,6,8,8,9,7,7,7,9,9,9,8,6,8,9
643,sevimli,suyukli,syn,ADJ,8.64,8.64,9,8,8,9,8,8,8,9,9,10,9,10,9,9,9,8,8,7,9,10,9,7
644,keksa,nuroniy,syn,ADJ,7.82,8.36,10,8,8,6,6,8,6,8,8,9,9,10,10,8,8,7,9,7,7,10,8,8
645,xolis,betaraf,syn,ADJ,8.55,8.91,8,9,8,7,9,8,9,9,9,9,9,9,10,9,7,8,9,10,8,9,10,9
646,muttasil,muntazam,syn,ADJ,7.91,7.64,9,8,8,8,8,8,7,6,8,9,8,9,9,6,6,7,8,8,9,7,6,9
647,yaxlit,butun,syn,ADJ,8.09,8.73,9,10,6,9,6,10,6,7,9,9,8,10,10,8,7,8,10,7,9,10,8,9
648,lirik,mumtoz,syn,ADJ,8.09,9.27,6,7,8,9,10,8,9,7,10,8,7,8,8,9,10,9,9,9,10,11,10,9
649,g'aroyib,ajabtovur,syn,ADJ,8.73,9.09,8,9,9,8,9,8,9,9,9,10,8,9,10,10,9,10,8,9,10,9,8,8
650,kambag'al,miskin,syn,ADJ,7.82,7.45,7,7,6,8,9,8,6,7,10,8,10,8,9,8,8,6,8,7,7,6,8,7
651,tekin,bepul,syn,ADJ,8.45,9.45,8,10,8,9,9,9,8,7,9,7,9,10,10,9,10,10,9,10,9,10,8,9
652,mahkum,mahbus,syn,ADJ,8.45,8.82,10,10,9,9,9,7,9,9,6,6,9,10,10,9,10,7,8,10,9,8,8,8
653,mahkam,mustahkam,syn,ADJ,7.18,8.36,9,6,6,7,6,9,9,6,6,7,8,10,7,7,8,9,9,10,9,7,8,8
654,jozibador,latofatli,syn,ADJ,7.91,9.00,8,9,7,8,8,8,9,6,8,8,8,9,10,7,10,8,9,9,9,9,10,9
655,dindor,taqvodor,syn,ADJ,7.82,8.09,9,8,7,6,6,9,10,10,7,8,6,10,9,9,7,7,9,7,8,8,8,7
