#,Word 1,Word 2,Pos,Frq,Type,Level,s1,r1,s2,r2,s3,r3,s4,r4,s5,r5,s6,r6,s7,r7,s8,r8,s9,r9,s10,r10,s11,r11
609,katta,ulkan,ADJ,29153,syn,high,8,9,8,10,5,7,5,7,8,9,9,9,6,9,5,9,8,8,8,10,8,9
610,milliy,mahalliy,ADJ,26162,syn,high,6,8,4,6,6,6,6,7,5,6,7,7,5,6,4,7,4,5,7,6,8,9
611,mazkur,joriy,ADJ,24228,syn,high,6,7,7,7,6,6,7,7,4,6,6,8,10,10,4,5,6,7,4,6,8,9
612,muhim,zarur,ADJ,23761,syn,high,9,9,7,8,7,7,6,8,6,9,9,9,4,5,3,6,6,8,2,8,6,6
613,iqtisodiy,moliyaviy,ADJ,18470,syn,high,7,9,8,8,5,7,4,6,5,8,7,8,10,10,4,8,2,6,3,8,7,8
614,zamonaviy,yetuk,ADJ,15890,syn,high,6,8,8,8,7,9,9,10,6,7,6,8,4,6,6,9,4,6,2,8,3,5
615,joriy,hozirgi,ADJ,14951,syn,high,9,9,9,9,6,7,6,7,6,6,8,9,6,7,6,9,6,7,3,5,2,6
616,kichik,mitti,ADJ,10136,syn,high,10,10,4,5,6,7,5,6,4,6,8,9,4,6,4,8,6,6,8,8,7,8
617,yuksak,oliy,ADJ,8499,syn,high,7,9,9,9,6,6,8,10,8,9,7,9,8,9,8,10,8,8,8,7,8,9
619,xususiy,shaxsiy,ADJ,7618,syn,high,7,9,9,9,9,9,8,8,4,6,8,8,7,8,6,9,7,8,10,9,6,6
620,mustaqil,demokratik,ADJ,5754,syn,high,8,9,7,9,5,6,8,9,6,7,8,9,8,10,3,9,6,7,8,6,3,8
621,ulkan,yirik,ADJ,5658,syn,high,7,9,8,8,7,7,5,8,6,9,9,9,10,10,5,8,9,9,8,8,6,8
622,doimiy,muntazam,ADJ,5561,syn,high,7,9,7,9,6,7,5,8,5,6,9,9,6,7,4,6,6,7,9,9,8,8
623,erkin,mustaqil,ADJ,4548,syn,high,9,10,6,7,6,8,6,9,8,8,8,10,4,6,5,9,4,6,2,9,8,9
624,yagona,yakka,ADJ,4434,syn,high,8,9,6,8,6,6,7,7,4,6,8,9,8,9,7,10,9,9,2,5,6,6
625,mashhur,taniqli,ADJ,4404,syn,high,10,10,9,9,8,9,8,10,7,8,9,10,7,8,9,10,10,10,8,9,8,9
626,teng,barobar,ADJ,4000,syn,high,9,10,8,10,9,10,7,9,10,10,9,9,8,10,6,9,10,10,9,9,9,9
627,mustahkam,barqaror,ADJ,3385,syn,high,7,9,5,6,6,8,6,7,7,9,9,9,4,8,4,7,4,6,6,8,8,8
628,tub,mahalliy,ADJ,3232,syn,high,8,9,7,9,6,6,5,6,6,8,7,8,4,7,3,6,4,6,2,2,3,8
629,boshlang'ich,dastlabki,ADJ,3175,syn,high,9,10,9,10,7,7,6,7,7,9,7,8,6,7,8,10,2,5,8,8,6,8
630,ilg'or,zamonaviy,ADJ,2876,syn,high,8,9,8,10,8,9,7,9,5,9,8,9,3,6,4,7,7,7,8,7,8,9
631,muqaddas,aziz,ADJ,2742,syn,high,10,10,7,8,7,7,8,9,9,9,9,9,6,8,8,9,6,8,2,6,6,8
632,xaqiqiy,asl,ADJ,2637,syn,oov2,8,9,8,10,6,8,7,9,5,8,9,9,7,8,3,7,4,5,5,6,8,9
633,bo'sh,quruq,ADJ,2378,syn,high,6,9,7,8,5,7,6,6,4,5,6,8,1,6,4,8,3,3,2,7,5,6
634,ozod,mustaqil,ADJ,2332,syn,high,9,9,6,9,7,8,6,6,3,5,10,10,4,6,8,10,5,6,6,8,8,9
636,quyi,past,ADJ,2309,syn,high,9,10,8,8,7,8,7,9,7,8,10,10,6,7,7,9,6,7,8,7,8,8
637,keskin,jadal,ADJ,2306,syn,high,7,8,6,7,6,8,8,9,6,8,6,7,7,8,3,7,8,8,0,8,3,8
638,yomon,salbiy,ADJ,2278,syn,high,8,9,6,9,6,8,7,7,7,9,8,9,8,10,6,7,7,8,6,8,8,9
