WORD,POS,TYPE,Count in Pairs,Word Frq in Corpus,Word Frq Level
abadiy,ADJ,inflectional,2,117,high
abadiylik,NOUN,derivational,1,80,high
abgor,ADJ,root,1,23,med
ablah,NOUN,root,1,1,low
ablahlik,NOUN,derivational,1,1,oov
abstraktlashtir,VERB,inflectional,1,7,oov
achigan,VERB,inflectional,1,4,low
adad,NOUN,root,1,161,high
adolatsiz,ADJ,inflectional,1,9,med
adras,NOUN,root,1,125,high
aeroport,NOUN,root,1,1114,high
afsungar,NOUN,derivational,1,32,med
afsunkor,NOUN,derivational,1,1,low
afzal,ADJ,root,1,11,med
ahlat,NOUN,root,1,63,high
aholi,NOUN,root,1,5518,high
ahvol,NOUN,root,1,2931,high
ajabtovur,ADJ,derivational,2,50,high
ajdod,NOUN,root,1,1982,high
ajnabiy,ADJ,derivational,1,42,med
ajoyibot,NOUN,derivational,1,48,med
ajralma,NOUN,derivational,1,416,high
ajratish,VERB,inflectional,3,1268,high
ajriq,NOUN,root,1,2,low
akrobatika,NOUN,root,1,48,med
alda,VERB,root,1,21,med
alifbo,NOUN,root,2,453,high
aljira,VERB,root,2,6,med
alkogol,NOUN,root,1,183,high
alloh,NOUN,root,1,117,high
aloqa,NOUN,root,2,3306,high
alpinist,NOUN,root,1,49,med
an'ana,NOUN,root,1,33,med
andoza,NOUN,root,1,1105,high
angla,VERB,root,1,5,low
anhor,NOUN,root,1,98,high
aniqlashtir,VERB,inflectional,2,227,high
aniqlik,NOUN,derivational,1,613,high
anjir,NOUN,root,1,57,high
anjuman,NOUN,root,2,6047,high
antenna,NOUN,root,1,126,high
apelsin,NOUN,root,1,37,med
aqlli,ADJ,derivational,3,1,low
aqlsiz,ADJ,inflectional,2,9,med
aralash,VERB,inflectional,1,5,low
aralashtir,VERB,inflectional,2,48,med
arazchi,NOUN,inflectional,1,1,low
archa,NOUN,root,1,282,high
ardoqla,VERB,derivational,1,224,high
arifmetika,NOUN,root,2,48,med
ariq,NOUN,root,1,272,high
arizachi,NOUN,derivational,1,47,med
armiya,NOUN,root,2,371,high
arrala,VERB,derivational,1,2,low
arteriya,NOUN,root,1,935,high
arxeologiya,NOUN,root,1,295,high
arxitekturaviy,ADJ,derivational,1,1,low
arzanda,ADJ,root,2,25,med
arzigulik,ADJ,derivational,1,9,med
arzimas,ADJ,inflectional,1,9,med
arzon,ADJ,root,1,1155,high
asabiylashtir,VERB,inflectional,1,11,med
asbob,NOUN,root,3,1288,high
ashula,NOUN,root,1,41,med
ashyo,NOUN,root,1,1015,high
asl,ADJ,root,1,2637,high
asorat,NOUN,root,1,359,high
asoslanib,VERB,inflectional,1,3,low
astma,NOUN,root,1,38,med
astronomiya,NOUN,root,3,347,high
atalgan,VERB,inflectional,1,5882,high
atir,NOUN,root,1,10,med
atirgul,NOUN,root,1,207,high
atmosfera,NOUN,root,1,104,high
avalgi,ADJ,root,1,1432,high
avlod,NOUN,root,3,390,high
avtobus,NOUN,root,1,1376,high
avtomashina,NOUN,root,1,678,high
avtomobil,NOUN,root,1,4364,high
avval,ADJ,root,1,1915,high
axloqsiz,ADJ,inflectional,3,6,med
ayb,NOUN,root,1,53,high
ayiq,NOUN,root,1,1,oov
aylantir,VERB,inflectional,1,11,med
aynigan,VERB,inflectional,1,4,low
ayol,NOUN,root,5,242,high
ayovsiz,ADJ,inflectional,1,104,oov2
ayqash,VERB,root,2,5,low
ayriliq,NOUN,inflectional,2,62,high
ayyom,NOUN,root,1,614,high
ayyorlik,NOUN,derivational,1,4,low
aziyat,NOUN,root,2,332,high
aziz,ADJ,root,1,2742,high
azob,NOUN,root,1,18,med
